protocol_type,service,flag,src_bytes,dst_bytes,num_failed_logins,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_same_srv_rate,dst_host_diff_srv_rate,class
tcp,uucp,S0,0,0,0,0,1,1,0.07,0.06,0.04,0.07,anomaly
tcp,finger,S0,0,0,0,0,1,1,0.5,0.08,0.23,0.04,anomaly
udp,domain_u,SF,43,43,0,0,0,0,1,0,1,0,normal
tcp,ftp_data,SF,641,0,0,1,0,0,1,0,0.25,0.02,normal
tcp,private,REJ,0,0,0,0,0,0,0.02,0.06,0.02,0.08,anomaly
tcp,private,REJ,0,0,0,0,0.1,0,0.01,1,0,0.84,anomaly
tcp,http,SF,310,2794,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0,0,0.16,0.08,0.04,0.07,anomaly
tcp,smtp,SF,696,333,0,1,0,0,1,0,0.39,0.04,normal
tcp,netbios_dgm,RSTR,0,0,0,0,0,0,1,0,0,0.58,anomaly
tcp,http,S0,0,0,0,0,1,1,0.37,0.08,0.26,0.02,anomaly
tcp,netbios_dgm,REJ,0,0,0,0,0,0,0.06,0.06,0.02,0.07,anomaly
tcp,supdup,S0,0,0,0,0,1,1,0.12,0.06,0.08,0.06,anomaly
tcp,http,SF,221,2878,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.11,0.06,0.12,0.05,anomaly
icmp,urp_i,SF,181,0,0,0,0,0,0.67,0.67,0.36,0.01,normal
udp,domain_u,SF,42,42,0,0,0,0,1,0,0.99,0.02,normal
tcp,private,S0,0,0,0,0,1,1,0.04,0.06,0.02,0.07,anomaly
tcp,ftp_data,SF,12,0,0,1,0,0,1,0,0.55,0.07,normal
tcp,auth,S0,0,0,0,0,1,1,0.03,0.06,0.04,0.06,anomaly
tcp,http,SF,210,2790,0,1,0,0,1,0,1,0,normal
tcp,http,SF,321,5683,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0,0,0.03,0.06,0.03,0.07,anomaly
tcp,http,SF,329,3982,0,1,0,0,1,0,1,0,normal
tcp,uucp_path,REJ,0,0,0,0,0,0,0.05,0.07,0.03,0.07,anomaly
tcp,domain,S0,0,0,0,0,1,1,0.09,0.05,0.01,0.07,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,http,SF,320,379,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.03,0.05,0.1,0.11,anomaly
tcp,http,SF,225,3762,0,1,0,0,1,0,1,0,normal
tcp,ftp,S0,0,0,0,0,1,1,0.05,0.06,0,0.07,anomaly
tcp,private,REJ,0,0,0,0,0,0,0.11,0.05,0.06,0.06,anomaly
udp,other,SF,146,105,0,0,0,0,0.67,0.67,0.02,0.54,normal
tcp,http,SF,247,1416,0,1,0,0,1,0,1,0,normal
tcp,http,SF,353,1483,0,1,0,0,1,0,1,0,normal
udp,domain_u,SF,44,44,0,0,0,0,0.99,0.02,1,0.01,normal
tcp,private,REJ,0,0,0,0,0,0,0.12,0.05,0.04,0.08,anomaly
tcp,csnet_ns,S0,0,0,0,0,1,1,0.02,0.06,0.01,0.07,anomaly
tcp,smtp,SF,3065,331,0,1,0,0,1,0,0.48,0.02,normal
udp,other,SF,102,102,0,0,0,0,1,0,0.14,0.29,normal
tcp,http,SF,259,750,0,1,0,0,1,0,1,0,normal
udp,other,SF,147,105,0,0,0,0,1,0,0.01,0.42,normal
tcp,private,S0,0,0,0,0,1,1,0.12,0.05,0.05,0.05,anomaly
tcp,http,SF,0,354,0,0,0.03,0.03,1,0,1,0,normal
tcp,http,SF,309,306,0,1,0,0,1,0,1,0,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,http,SF,278,7227,0,1,0,0,1,0,1,0,normal
udp,private,SF,28,0,0,0,0,0,1,0,0.71,0.29,anomaly
tcp,http,SF,313,761,0,1,0,0,1,0,1,0,normal
tcp,http,SF,219,1212,0,1,0,0,1,0,1,0,normal
tcp,http,SF,245,9165,0,1,0,0,1,0,1,0,normal
tcp,http,SF,328,2243,0,1,0,0,1,0,1,0,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,http,SF,251,301,0,1,0,0,1,0,0.99,0.01,normal
tcp,smtp,SF,2089,335,0,1,0,0,0.5,1,0.6,0.03,normal
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,http,SF,237,511,0,1,0,0,1,0,1,0,normal
tcp,http,SF,324,431,0,1,0,0,1,0,1,0,normal
tcp,private,RSTR,1,0,0,0,0,0,1,0,0.01,0.69,anomaly
tcp,Z39_50,REJ,0,0,0,0,0,0,0.15,0.05,0.07,0.07,anomaly
udp,private,SF,105,145,0,0,0,0,0.25,0.5,0.94,0.01,normal
tcp,http,SF,218,974,0,1,0,0,1,0,1,0,normal
tcp,http,SF,325,2649,0,1,0,0,1,0,1,0,normal
tcp,uucp_path,REJ,0,0,0,0,0,0,0.08,0.07,0.08,0.07,anomaly
tcp,bgp,REJ,0,0,0,0,0,0,0.07,0.07,0.07,0.08,anomaly
tcp,csnet_ns,S0,0,0,0,0,1,1,0.03,0.07,0.03,0.08,anomaly
tcp,http,SF,328,275,0,1,0,0,1,0,0.98,0.01,normal
tcp,bgp,S0,0,0,0,0,1,1,0.02,0.05,0.03,0.07,anomaly
tcp,finger,SF,9,138,0,0,0,0,1,0,0.03,0.03,normal
udp,domain_u,SF,46,46,0,0,0,0,1,0,1,0.01,normal
tcp,smtp,SF,1079,334,0,1,0,0,1,0,0.57,0.03,normal
udp,domain_u,SF,45,139,0,0,0,0,1,0,1,0.01,normal
tcp,ftp,SF,273,903,0,1,0,0,1,0,0.28,0.02,normal
tcp,private,S0,0,0,0,0,1,1,0.11,0.06,0.08,0.08,anomaly
tcp,ldap,REJ,0,0,0,0,0,0,0.04,0.06,0,0.07,anomaly
tcp,http,SF,237,138,0,1,0,0,1,0,1,0,normal
tcp,http,SF,225,1357,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.06,0.06,0.03,0.08,anomaly
tcp,supdup,S0,0,0,0,0,1,1,0.08,0.06,0.03,0.07,anomaly
udp,other,SF,147,0,0,0,0,0,0.33,0.67,0,0.61,normal
tcp,http,SF,262,1011,0,1,0,0,1,0,1,0,normal
icmp,ecr_i,SF,1032,0,0,0,0,0,1,0,1,0,anomaly
tcp,private,S0,0,0,0,0,1,1,0.12,0.06,0.03,0.06,anomaly
tcp,http,SF,261,8412,0,1,0,0,1,0,1,0,normal
tcp,bgp,REJ,0,0,0,0,0,0,0.06,0.08,0.03,0.09,anomaly
tcp,netbios_dgm,REJ,0,0,0,0,0,0,0.01,0.07,0.01,0.07,anomaly
tcp,http,SF,294,1719,0,1,0,0,1,0,1,0,normal
tcp,http,SF,221,981,0,1,0,0,1,0,1,0,normal
tcp,http,SF,284,10352,0,1,0,0,1,0,1,0,normal
tcp,gopher,SH,0,0,0,0,1,1,1,0,0,1,anomaly
tcp,http,SF,309,16096,0,1,0,0,1,0,1,0,normal
tcp,ftp_data,SF,334,0,0,1,0,0,1,0,1,0,anomaly
tcp,telnet,S0,0,0,0,0,1,1,0.31,0.31,0.25,0.02,anomaly
tcp,private,S0,0,0,0,0,1,1,0.01,0.07,0,0.06,anomaly
tcp,http,SF,214,283,0,1,0,0,1,0,1,0,normal
tcp,vmnet,S0,0,0,0,0,1,1,0.04,0.05,0.05,0.08,anomaly
tcp,systat,S0,0,0,0,0,1,1,0.06,0.05,0,0.08,anomaly
tcp,http_443,S0,0,0,0,0,1,1,0.1,0.06,0.06,0.05,anomaly
udp,domain_u,SF,46,78,0,0,0,0,1,0.01,1,0.01,normal
tcp,ftp_data,SF,748,0,0,1,0,0,1,0,0.83,0.33,normal
tcp,efs,S0,0,0,0,0,1,1,0.19,0.06,0.07,0.06,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,whois,S0,0,0,0,0,1,1,0.01,0.07,0.01,0.08,anomaly
tcp,http,SF,329,8437,0,1,0,0,1,0,1,0,normal
tcp,ftp_data,SF,9,0,0,1,0,0,1,0,0.5,0.38,normal
udp,domain_u,SF,46,128,0,0,0,0,1,0,0.99,0.01,normal
tcp,ftp_data,SF,1766,0,0,1,0,0,1,0,0.02,0.02,normal
tcp,remote_job,S0,0,0,0,0,1,1,0.02,0.06,0.02,0.07,anomaly
tcp,other,RSTR,1,0,0,0,0,0,1,0,0.01,0.74,anomaly
tcp,finger,SF,8,135,0,0,0,0,1,0,0.03,0.03,normal
tcp,http,SF,266,529,0,1,0,0,1,0,1,0,normal
tcp,ftp_data,SF,245,0,0,0,0,0,0.67,0.67,0.32,0.06,normal
tcp,http,SF,295,465,0,1,0,0,1,0,1,0,normal
tcp,gopher,S0,0,0,0,0,1,1,0.27,0.11,0.05,0.08,anomaly
tcp,http,SF,228,6834,0,1,0,0,1,0,1,0,normal
icmp,ecr_i,SF,1032,0,0,0,0,0,1,0,0.83,0.02,anomaly
tcp,imap4,REJ,0,0,0,0,0,0,0.06,0.06,0.06,0.07,anomaly
tcp,private,S0,0,0,0,0,0.99,1,0.16,0.07,0.07,0.05,anomaly
tcp,whois,S0,0,0,0,0,1,1,0.01,0.05,0.01,0.05,anomaly
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,other,REJ,0,0,0,0,0.08,0,0,0.95,0,0.91,anomaly
udp,other,SF,1,0,0,0,0,0,0.27,0.09,0.02,0.06,anomaly
tcp,iso_tsap,S0,0,0,0,0,1,1,0.03,0.06,0.04,0.07,anomaly
icmp,ecr_i,SF,30,0,0,0,0,0,1,0,1,0,normal
tcp,smtp,SF,2078,333,0,1,0,0,1,0,0.31,0.03,normal
tcp,ftp_data,SF,19,0,0,0,0,0,1,0,0.02,0.04,normal
tcp,smtp,SF,661,329,0,1,0,0,1,0,0.36,0.02,normal
udp,private,SF,28,0,0,0,0,0,0.97,0.06,0.13,0.02,anomaly
tcp,ftp_data,S0,0,0,0,0,1,1,0.07,0.14,0.16,0.03,anomaly
tcp,private,S0,0,0,0,0,1,1,0.17,0.07,0.07,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.05,0.06,0.06,0.07,anomaly
tcp,smtp,SF,1075,364,0,1,0,0,1,0,0.39,0.17,normal
tcp,http,SF,223,656,0,1,0,0,1,0,1,0,normal
tcp,ftp,SF,350,1185,0,1,0,0,1,0,0.56,0.02,anomaly
tcp,http,SF,233,2470,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.04,0.07,0.04,0.05,anomaly
tcp,echo,S0,0,0,0,0,1,1,0.08,0.06,0.07,0.06,anomaly
tcp,http,SF,201,1938,0,1,0,0,1,0,1,0,normal
tcp,http,SF,271,4781,0,1,0,0,1,0,1,0,normal
tcp,ftp_data,SF,14416,0,0,1,0,0,1,0,0.19,0.02,normal
tcp,http,SF,227,11564,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0,0,0,0.52,0,0.52,anomaly
tcp,http,SF,225,2445,0,1,0,0,1,0,1,0,normal
tcp,http,SF,176,426,0,1,0,0,1,0,1,0,normal
tcp,klogin,S0,0,0,0,0,1,1,0.1,0.06,0.05,0.06,anomaly
tcp,http,SF,227,762,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,855,575,0,1,0,0,1,0,0.08,0.02,normal
tcp,smtp,SF,944,330,0,1,0,0,1,0,0.63,0.02,normal
tcp,smtp,SF,954,326,0,1,0,0,0.5,1,0.71,0.11,normal
tcp,uucp_path,S0,0,0,0,0,1,1,0.09,0.06,0.07,0.07,anomaly
tcp,http,SF,166,34660,0,1,0,0,1,0,1,0,normal
tcp,http,SF,306,2698,0,1,0,0,1,0,0.94,0.01,normal
tcp,netbios_ns,S0,0,0,0,0,1,1,0.15,0.05,0.07,0.05,anomaly
tcp,private,REJ,0,0,0,0,0.05,0,0.01,1,0,0.8,anomaly
icmp,ecr_i,SF,1480,0,0,0,0,0,1,0,1,0,anomaly
tcp,iso_tsap,S0,0,0,0,0,1,1,0.06,0.05,0.07,0.07,anomaly
tcp,http,SF,313,8549,0,1,0,0,1,0,1,0,normal
tcp,link,S0,0,0,0,0,1,1,0.08,0.05,0.09,0.05,anomaly
tcp,sunrpc,S0,0,0,0,0,1,1,0.09,0.06,0.06,0.06,anomaly
tcp,http,SF,285,6008,0,1,0,0,1,0,1,0,normal
tcp,http,SF,226,1411,0,1,0,0,1,0,1,0,normal
tcp,http,SF,256,12984,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,3740,449,0,1,0,0,1,0,0.68,0.02,normal
tcp,http,SF,224,449,0,1,0.1,0.09,1,0,1,0,normal
tcp,login,S0,0,0,0,0,1,1,0.03,0.07,0.01,0.07,anomaly
tcp,ftp_data,SF,832,0,0,1,0,0,1,0,1,0,anomaly
tcp,finger,S0,0,0,0,0,1,1,0.08,0.06,0.08,0.07,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,http,SF,201,169,0,1,0,0,1,0,1,0,normal
tcp,http,SF,285,304,0,1,0,0,1,0,1,0,normal
tcp,kshell,S0,0,0,0,0,1,1,0.19,0.05,0.09,0.05,anomaly
tcp,ftp_data,SF,7422,0,0,1,0,0,1,0,0.17,0.02,normal
tcp,http,SF,198,12884,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,2310,328,0,1,0,0,1,0,0.62,0.02,normal
tcp,http,SF,331,955,0,1,0,0,1,0,1,0,normal
icmp,urp_i,SF,65,0,0,0,0,0,0.22,0.22,0.06,0.01,normal
udp,private,SF,28,0,0,0,0,0,1,0,0.28,0.01,anomaly
udp,domain_u,SF,45,77,0,0,0,0,1,0,0.91,0.01,normal
tcp,ftp,RSTO,0,0,0,0,0,0,0.01,0.06,0.01,0.07,anomaly
tcp,auth,S0,0,0,0,0,1,1,0.03,0.07,0.03,0.07,anomaly
tcp,kshell,S0,0,0,0,0,1,1,0.02,0.07,0.01,0.06,anomaly
tcp,finger,SF,9,142,0,0,0,0,1,0,0.05,0.03,normal
tcp,http,SF,283,912,0,1,0,0,1,0,1,0,normal
tcp,http,SF,221,1789,0,1,0.5,0.1,1,0,1,0,normal
icmp,eco_i,SF,18,0,0,0,0,0,1,0,1,0,anomaly
tcp,vmnet,S0,0,0,0,0,1,1,0.01,0.06,0.01,0.07,anomaly
tcp,telnet,S0,0,0,0,0,1,1,0.07,0.13,0.2,0.03,anomaly
tcp,ftp_data,S0,0,0,0,0,1,1,0.03,0.06,0.03,0.06,anomaly
tcp,http,SF,302,1380,0,1,0,0,1,0,0.88,0.02,normal
tcp,private,S0,0,0,0,0,1,1,0.06,0.09,0.04,0.1,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,private,S0,0,0,0,0,1,1,0.07,0.06,0.07,0.05,anomaly
tcp,http,SF,355,870,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,telnet,SF,106,1468,0,0,0,0,1,0,0.01,0.04,normal
tcp,http,SF,286,1423,0,1,0,0,1,0,1,0,normal
tcp,other,RSTR,1,0,0,0,0,0,1,0,0.01,0.74,anomaly
tcp,sql_net,SH,0,0,0,0,1,1,1,0,0,1,anomaly
icmp,ecr_i,SF,1032,0,0,0,0,0,1,0,0.18,0.02,anomaly
tcp,http,SF,168,9551,0,1,0,0,1,0,1,0,normal
tcp,http,SF,238,864,0,1,0,0,1,0,1,0,normal
tcp,private,RSTR,0,0,0,0,0,0,1,0,0,0.38,anomaly
tcp,http,SF,291,10369,0,1,0,0,1,0,1,0,normal
tcp,vmnet,S0,0,0,0,0,1,1,0.1,0.05,0.09,0.05,anomaly
tcp,smtp,SF,749,330,0,1,0,0,1,0,0.74,0.11,normal
tcp,http,SF,198,6924,0,1,0,0,1,0,1,0,normal
tcp,mtp,REJ,0,0,0,0,0,0,0.04,0.06,0.04,0.07,anomaly
tcp,http,SF,167,709,0,1,0,0,1,0,1,0,normal
tcp,http,SF,241,851,0,1,0,0,1,0,1,0,normal
tcp,http,SF,337,3360,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,729,328,0,1,0,0,1,0,0.41,0.04,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,csnet_ns,S0,0,0,0,0,1,1,0,0.06,0.02,0.07,anomaly
tcp,http,SF,222,1483,0,1,0,0,1,0,1,0,normal
tcp,auth,REJ,0,0,0,0,0,0,0.05,0.06,0.05,0.07,anomaly
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
udp,domain_u,SF,46,134,0,0,0,0,1,0,1,0,normal
tcp,http,SF,246,2719,0,1,0,0,1,0,1,0,normal
tcp,http,SF,222,771,0,1,0,0,1,0,1,0,normal
tcp,vmnet,S0,0,0,0,0,1,1,0.04,0.05,0.04,0.05,anomaly
tcp,private,S0,0,0,0,0,1,1,0.05,0.06,0.04,0.07,anomaly
tcp,telnet,SF,279,9598,0,1,0,0,1,0,0.45,0.01,normal
tcp,http,SF,226,651,0,1,0,0,1,0,1,0,normal
tcp,http,SF,299,447,0,1,0,0,1,0,1,0,normal
tcp,http,S0,0,0,0,0,1,1,0.43,0.29,0.28,0.04,anomaly
tcp,ftp_data,SF,12,0,0,1,0,0,1,0,0.36,0.27,normal
tcp,http,SF,281,1951,0,1,0,0,1,0,1,0,normal
tcp,bgp,S0,0,0,0,0,1,1,0.18,0.05,0.1,0.05,anomaly
udp,domain_u,SF,42,42,0,0,0,0,1,0,0.96,0.01,normal
tcp,ftp,S0,0,0,0,0,1,1,0.02,0.06,0.03,0.07,anomaly
tcp,time,S0,0,0,0,0,1,1,0.05,0.07,0.04,0.07,anomaly
tcp,http,SF,263,453,0,1,0,0,1,0,1,0,normal
tcp,private,RSTR,1,0,0,0,0,0,1,0,0.01,0.5,anomaly
tcp,ftp,RSTO,0,0,0,0,0,0,1,0,0.2,0.02,normal
tcp,private,S0,0,0,0,0,1,1,0.1,0.06,0.12,0.06,anomaly
tcp,sql_net,S0,0,0,0,0,1,1,0.04,0.07,0.07,0.07,anomaly
tcp,http,SF,283,1980,0,1,0,0,1,0,1,0,normal
tcp,http,SF,161,5530,0,1,0,0,1,0,1,0,normal
tcp,http,SF,211,321,0,1,0,0,1,0,1,0,normal
tcp,http,SF,201,1701,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
udp,other,SF,147,0,0,0,0,0,0.33,0.67,0,0.67,normal
tcp,private,S0,0,0,0,0,1,1,0.22,0.05,0.02,0.06,anomaly
tcp,ftp_data,SF,567,0,0,0,0,0,1,0,0.25,0.09,normal
tcp,hostnames,REJ,0,0,0,0,0,0,0.01,0.07,0.01,0.08,anomaly
tcp,telnet,S0,0,0,0,0,0.97,1,0.24,0.09,0.2,0.04,anomaly
tcp,ftp_data,SF,5131424,0,0,1,0,0.14,1,0,1,0,anomaly
tcp,http,SF,320,420,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,smtp,S0,0,0,0,0,0.5,0.5,1,0,0.4,0.05,normal
tcp,http,SF,204,1229,0,1,0,0,1,0,1,0,normal
tcp,time,RSTR,0,0,0,0,0,0,1,0,0,0.16,anomaly
tcp,ftp_data,SF,10389,0,0,1,0,0,1,0,0.32,0.02,normal
tcp,uucp,S0,0,0,0,0,1,1,0.09,0.06,0.05,0.07,anomaly
tcp,http,SF,344,573,0,1,0.04,0.03,1,0,1,0,normal
tcp,exec,RSTO,0,0,0,0,0,0,0.11,0.06,0.04,0.06,anomaly
tcp,netbios_dgm,S0,0,0,0,0,1,1,0.08,0.05,0.07,0.07,anomaly
tcp,http,SF,243,821,0,1,0,0,1,0,1,0,normal
icmp,ecr_i,SF,1032,0,0,0,0,0,1,0,1,0,anomaly
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,private,REJ,0,0,0,0,0.17,0,0.03,1,0,0.47,anomaly
udp,private,SF,105,146,0,0,0,0,0.67,0.67,0.94,0.01,normal
tcp,private,S0,0,0,0,0,1,1,0.07,0.05,0.07,0.06,anomaly
tcp,smtp,SF,1080,327,0,1,0,0,1,0,0.58,0.02,normal
tcp,telnet,S0,0,0,0,0,1,1,0.02,0.05,0.03,0.05,anomaly
tcp,private,S0,0,0,0,0,1,1,0.02,0.07,0.05,0.07,anomaly
tcp,Z39_50,S0,0,0,0,0,1,1,0.01,0.06,0.02,0.07,anomaly
tcp,smtp,SF,657,326,0,1,0,0,0.5,1,0.04,0.6,normal
tcp,http_443,S0,0,0,0,0,1,1,0.07,0.06,0.01,0.07,anomaly
tcp,http,SF,284,765,0,1,0,0,1,0,1,0,normal
tcp,http,SF,261,15455,0,1,0,0,1,0,1,0,normal
tcp,http,SF,317,315,0,1,0,0,1,0,1,0,normal
udp,domain_u,SF,33,0,0,0,0,0,1,0,0.14,0.03,normal
tcp,private,REJ,0,0,0,0,0,0,0.5,1,0,0.6,anomaly
tcp,private,RSTR,0,0,0,0,0,0,1,0,0,0.64,anomaly
udp,domain_u,SF,44,70,0,0,0,0,1,0,0.92,0.01,normal
tcp,http,SF,215,584,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.03,0.07,0.03,0.07,anomaly
tcp,http,SF,332,2844,0,1,0,0,1,0,1,0,normal
tcp,smtp,SF,978,334,0,1,0,0,1,0,0.75,0.03,normal
tcp,http,SF,296,5670,0,1,0,0,1,0,1,0,normal
tcp,telnet,S0,0,0,0,0,1,1,0.1,0.06,0.03,0.07,anomaly
tcp,private,REJ,0,0,0,0,0,0,0.07,0.06,0.02,0.09,anomaly
tcp,http,SF,214,9986,0,1,0,0,1,0,1,0,normal
tcp,private,S0,0,0,0,0,1,1,0.03,0.07,0.01,0.07,anomaly
udp,ntp_u,SF,48,48,0,0,0,0,1,0,0.55,0.05,normal
tcp,http,SF,226,1301,0,1,0,0,1,0,1,0,normal
tcp,bgp,S0,0,0,0,0,1,1,0.08,0.07,0.05,0.08,anomaly
icmp,urp_i,SF,78,0,0,0,0,0,0.4,0.1,0.06,0.01,normal
tcp,private,S0,0,0,0,0,1,1,0.01,0.07,0.02,0.07,anomaly
tcp,http,REJ,0,0,0,0,0,0,1,0,1,0,normal
tcp,discard,S0,0,0,0,0,1,1,0.07,0.06,0.07,0.07,anomaly
tcp,private,REJ,0,0,0,0,0,0,1,0,0.03,1,anomaly
tcp,private,REJ,0,0,0,0,0,0,0.5,1,0,0.53,anomaly
tcp,http,SF,294,3327,0,1,0,0,1,0,1,0,normal
tcp,supdup,S0,0,0,0,0,1,1,0.01,0.05,0.01,0.05,anomaly
tcp,http,SF,220,1249,0,1,0,0,1,0,1,0,normal
tcp,other,REJ,0,0,0,0,0.08,0,0,1,0,1,anomaly
tcp,http,SF,196,3282,0,1,0,0,1,0,1,0,normal
tcp,http,S0,0,0,0,0,1,0.43,0.05,0.06,0.05,0.08,anomaly
tcp,http,SF,327,4482,0,1,0,0,1,0,1,0,normal
